VAR_001,VAR_003,VAR_004,VAR_005,VAR_006,VAR_007,VAR_008,VAR_009,VAR_010,VAR_011,VAR_012,VAR_017,VAR_018,VAR_019,VAR_020,VAR_021,VAR_022,VAR_023,VAR_031,VAR_055
4214409,6253,0.17,44.6,97.86,53.73,6.74,99.15,90.67,613.65,10.81,5.21,24.04,5.91,3511,17.25,0.44,82.26,46469.64,19.86
4214508,6452,0.34,42.51,95.35,58.13,45.28,99.74,92.62,704.57,11.2,5.92,31.3,6.18,3983,19.06,0.5,80.73,36309.6,12.85
4214607,7747,0.76,47.81,95.91,58.33,57.02,99.89,86.33,488.27,9.32,3.11,29.73,5.99,4208,10.71,0.47,88.26,36560.56,31.61
4214706,10865,0.46,49.69,94.6,55.92,21.97,99.92,98.23,1094.19,9.97,2.35,28.16,6.87,6106,16.54,0.37,82.87,39786.84,19.56
4214805,72587,1.42,92.79,76.97,92.02,65.06,99.89,99.5,1874.68,10.16,2.03,51.32,16.5,36038,10.6,0.45,88.37,50593.32,278.31
4214904,4847,0.72,34.26,93.62,41.28,37.74,99.94,70.8,821.74,10.83,0.37,37.36,8.51,3315,14.34,0.56,84.83,65391.05,16.03
4215000,39261,-0.12,91.22,95.42,93.27,61.84,99.5,97.98,803.51,9.72,5.02,38.68,9.85,20838,14.47,0.44,84.72,37822.98,43.27
4215059,2397,-0.13,28.24,99.43,35.02,28.47,99.54,96.1,389.69,9.64,17.29,24.61,6.59,1323,18.76,0.42,80.98,28204.81,8.48
4215075,4768,-0.16,44.52,96.63,73.34,2.72,99.84,68.72,478.06,11.92,7.99,25.34,5.03,3111,16.24,0.44,83.14,32629.64,24.96
4215109,12757,1.3,86.28,95.4,57.5,59.23,99.91,97.85,1081.31,9.02,1.64,31.63,7.05,6392,10.95,0.42,88.03,33485.74,98.89
4215208,4823,-1.29,36.17,98.01,60.68,3.39,99.68,54.71,471.39,9.97,6.47,20.93,5.57,3346,19.38,0.47,80.46,24284.48,21.6
4215307,7489,0.13,67.67,94.61,63.86,52,99.96,83.99,778.41,10.07,3.15,37.28,6.43,4657,19.06,0.43,80.73,41456.71,42.1
4215356,3632,-0.73,31.68,99.26,51.92,0.52,99.12,63.35,288.82,11,25.2,20.47,3.74,2395,20,0.5,79.95,25119.64,23.2
4215406,4390,0.17,79.1,91.58,82.92,4.15,99.88,96.45,941.63,11.4,5.36,43.03,13.24,2441,11.65,0.55,87.35,55697.51,42
4215455,12882,1.8,46.69,98.68,52.36,29.52,99.88,97.39,291.51,9.13,1.32,20.31,3.36,5869,14.06,0.4,85.09,35541.99,155.23
4215505,15546,-0.11,86.71,95.67,84.87,81.21,98.22,95,640.51,9.56,10.51,34.06,9.31,7143,17.38,0.52,82.15,38931.54,13.57
4215554,2425,0.1,37.03,97.62,79.8,1.59,100,66.63,886,11.44,6.05,28.62,3.75,1805,15.92,0.38,83.42,47568.58,29.94
4215604,2088,0.09,25.08,96.2,30.39,10.04,100,93.08,641.69,11.51,2.42,34.01,6.14,1536,15,0.32,84.24,33855.46,10.27
4215653,9792,1.65,46.51,97.22,54.3,1.55,99.67,97.96,510.04,10.79,4.79,25.19,5.8,4786,18.69,0.39,81.03,23706.37,65.15
