id_municipio,pib,impostos_liquidos,va_agropecuaria,va_industria,va_servicos,va_adespss
3167806,81877,3219,17220,4346,26138,30953
3114303,1060224,102757,268999,115686,412202,160581
3121100,125715,6216,29905,16151,33951,39493
3134509,172515,6231,55593,53476,33963,23251
3136207,4851241,561272,3795,2435591,1442291,408291
3138500,107638,5486,35743,5005,35080,26325
3140852,158638,7026,53957,6266,30669,60720
3141405,253051,14462,15763,28665,97881,96280
3142908,256132,15021,20745,10961,109381,100024
3148103,3678404,369287,884670,392231,1564521,467694
3154705,105348,9752,9974,6153,55582,23886
3159506,179081,5221,83411,27162,31858,31429
3171501,43931,2422,5450,1667,13784,20608
3100401,64907,3478,3564,12309,22209,23347
3102209,54648,2060,10161,1951,15293,25182
3106655,61026,2214,15012,3301,14134,26365
3108107,135482,9368,25977,17754,47393,34990
3111200,1244647,126417,83677,172096,598893,263564
3115474,56844,1727,8851,2103,14258,29905
3118106,49300,2093,5423,1372,15030,25383
3121258,466767,68830,24286,169671,141550,62429
3126703,451860,55412,44167,15786,214110,122386
3126802,80106,2753,23887,2452,18633,32382
3130507,265384,15299,90096,11997,85839,62153
3131158,180315,10172,1869,9332,69466,89476
3159001,103786,8553,3139,8079,58247,25768
3160405,843029,45702,352781,47343,263047,134156
3161502,264434,29293,20096,90240,66957,57847
3171105,170434,5051,101522,6844,29158,27860
3104601,292035,25911,24132,74135,96649,71208
3106101,61571,3038,15436,6261,16430,20406
3107109,1058550,91566,253237,86831,435502,191415
3108909,198032,17310,29319,13927,73687,63790
3118205,490137,20779,158527,179933,85330,45567
3130556,101174,2583,38535,3329,21405,35321
3134004,148258,8774,14207,18519,39963,66795
3137908,52131,2898,8636,3221,16443,20933
3138005,95788,4385,20736,6379,29156,35131
3139201,235819,15151,24647,23477,88484,84060
3139250,60107,2439,4496,2095,16621,34456
3144102,535441,48980,77613,76701,230883,101265
3147402,918487,77322,47061,149845,522423,121836
3160454,70750,2242,6216,3797,18224,40271
3166105,49778,1802,12440,4417,10447,20672
3166501,45066,1281,5921,1455,10387,26022
3100708,229831,5208,154963,9889,39715,20056
3107505,127774,10061,25773,9551,46169,36219
3119807,165603,20804,37657,5349,81889,19904
3120839,74054,4206,12701,3701,24985,28461
3123304,66847,2814,19968,2186,18589,23290
3127404,94285,8606,11314,6493,42918,24952
3135050,849210,73887,208983,147112,230823,188405
3138351,66205,3038,11521,2768,19287,29590
3145802,64915,1995,27543,3812,12306,19260
3150604,303200,8785,26165,160917,72593,34740
3153905,193699,10107,326,43345,64580,75341
3155207,59610,1966,13514,1650,16423,26057
3157500,51019,2042,6492,1812,15608,25064
3167608,285287,12676,89366,10451,82504,90288
3109006,4624938,372254,31032,2875454,1035614,310584
3109402,736130,40805,347005,24935,178889,144497
3109907,315264,28774,34268,89406,103489,59327
3111309,231132,13467,68690,9932,78435,60609
3112406,207280,11335,90841,15342,53409,36353
3118502,31451,1428,9811,784,6969,12460
3118700,234166,12189,98530,8104,70353,44991
3118809,272891,15525,47026,12314,77495,120530
3122355,178208,27354,2846,35781,72722,39506
3126901,150490,10925,12081,23499,58629,45355
3131505,188530,14155,36810,10293,78643,48628
3134400,2017455,194899,163573,791694,660698,206591
3135357,77423,3591,5883,3169,24513,40267
3136801,51609,1702,10851,2070,12688,24298
3143005,365890,40709,81144,42666,137096,64275
3146909,374343,32725,36206,105406,125655,74350
3147204,650754,62696,137445,123387,229257,97969
3150406,89821,5526,23567,10099,24244,26385
3156106,90357,3890,24709,12538,25596,23624
3156452,67739,4244,8742,3184,22396,29172
3165602,38035,2144,5662,3721,11341,15165
3168804,205707,15956,7230,15311,123483,43727
3169505,82915,2907,15729,3596,24722,35962
3113602,174197,18638,29069,9933,81574,34984
3118007,4115644,316547,3825,2343552,1038151,413568
3120706,184043,7839,103809,8076,39338,24982
3121704,42942,2120,5610,1052,12606,21555
3123908,270226,21294,35764,23121,115739,74308
3127305,113734,4726,17937,23056,33402,34613
3128204,115228,4149,21988,5995,34468,48628
3128907,327236,14172,124603,79588,66486,42388
3129905,77638,4261,26006,3966,23124,20280
3133303,308690,27566,8641,15746,154043,102695
3134905,1143965,225002,45068,340837,394607,138452
3145059,116257,4792,24828,9203,37123,40310
3156700,4201730,349567,3156,1846009,1400188,602811
3158201,170840,8450,21490,6340,67180,67380
3168309,65923,3699,7555,7524,21952,25193
3101003,236649,20529,52991,8907,88262,65958
3110806,53464,2545,6982,1860,18934,23143
3121506,50625,1668,14227,2039,12613,20078
3124005,409477,20570,138569,21222,135023,94093
3125101,13651225,4449855,11357,2420914,6466084,303014
